[rosmaster.main][INFO] 2017-04-16 11:30:50,943: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-04-16 11:30:50,943: Starting ROS Master Node
[xmlrpc][INFO] 2017-04-16 11:30:50,944: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-04-16 11:30:50,945: Started XML-RPC server [http://192.168.1.11:11311/]
[rosmaster.master][INFO] 2017-04-16 11:30:50,945: Master initialized: port[11311], uri[http://192.168.1.11:11311/]
[xmlrpc][INFO] 2017-04-16 11:30:50,945: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-04-16 11:30:50,954: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 11:30:50,956: +PARAM [/roslaunch/uris/host_192_168_1_11__56806] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 11:30:51,065: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 11:30:51,065: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 11:30:51,073: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,074: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,077: +PUB [/rosout_agg] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,082: +SUB [/rosout] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,974: -PUB [/rosout_agg] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,976: -SUB [/rosout] /rosout http://192.168.1.11:36742/
[rosmaster.master][INFO] 2017-04-16 11:30:51,977: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.1.11:50564
[rosmaster.master][INFO] 2017-04-16 11:30:51,979: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.1.11:50564
[rosmaster.main][INFO] 2017-04-16 11:30:52,020: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-04-16 11:30:52,021: stopping master...
[rospy.core][INFO] 2017-04-16 11:30:52,021: signal_shutdown [atexit]
