[rosmaster.main][INFO] 2017-04-16 12:56:58,888: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-04-16 12:56:58,888: Starting ROS Master Node
[xmlrpc][INFO] 2017-04-16 12:56:58,890: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-04-16 12:56:58,890: Started XML-RPC server [http://xw6600:11311/]
[rosmaster.master][INFO] 2017-04-16 12:56:58,891: Master initialized: port[11311], uri[http://xw6600:11311/]
[xmlrpc][INFO] 2017-04-16 12:56:58,891: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-04-16 12:56:58,986: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:58,989: +PARAM [/roslaunch/uris/host_xw6600__58113] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,130: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,132: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,132: +PARAM [/move_group/manipulator/longest_valid_segment_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,132: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/robot_description_planning/joint_limits/joint_5/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,133: +PARAM [/rviz_xw6600_6840_6061290368335357027/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,134: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,134: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,135: +SERVICE [/rosout/get_loggers] /rosout http://xw6600:41044/
[rosmaster.master][INFO] 2017-04-16 12:56:59,135: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,136: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,136: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,136: +PARAM [/robot_description_planning/joint_limits/joint_4/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,137: +SERVICE [/rosout/set_logger_level] /rosout http://xw6600:41044/
[rosmaster.master][INFO] 2017-04-16 12:56:59,138: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,139: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,139: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,139: +PARAM [/robot_description_planning/joint_limits/joint_1/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,140: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,140: +PARAM [/robot_description_planning/joint_limits/joint_3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,140: +PARAM [/move_group/manipulator/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,140: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,141: +PARAM [/move_group/moveit_controller_manager] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,141: +PARAM [/move_group/planning_plugin] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,141: +PARAM [/robot_description_planning/joint_limits/joint_5/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,142: +PUB [/rosout_agg] /rosout http://xw6600:41044/
[rosmaster.master][INFO] 2017-04-16 12:56:59,142: +PARAM [/move_group/planning_scene_monitor/publish_geometry_updates] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,142: +PARAM [/robot_description_planning/joint_limits/joint_2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,143: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/max_states_failed] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,143: +PARAM [/robot_description_planning/joint_limits/joint_2/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,143: +PARAM [/robot_description_planning/joint_limits/joint_5/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,144: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,144: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,144: +PARAM [/rviz_xw6600_6840_6061290368335357027/manipulator/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,144: +PARAM [/robot_description_planning/joint_limits/joint_1/min_position] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,144: +PARAM [/move_group/planner_configs/PRMstarkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,145: +PARAM [/move_group/planner_configs/RRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,146: +PARAM [/move_group/allow_trajectory_execution] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,147: +PARAM [/move_group/planner_configs/ESTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,147: +PARAM [/move_group/start_state_max_bounds_error] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,148: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,148: +PARAM [/move_group/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,148: +PARAM [/robot_description_planning/joint_limits/joint_4/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,149: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/init_temperature] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,149: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,149: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,150: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,150: +PARAM [/rviz_xw6600_6840_6061290368335357027/manipulator/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,151: +PARAM [/move_group/moveit_manage_controllers] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,152: +PARAM [/robot_description_planning/joint_limits/joint_3/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,152: +PARAM [/robot_description_planning/joint_limits/joint_4/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,153: +SUB [/rosout] /rosout http://xw6600:41044/
[rosmaster.master][INFO] 2017-04-16 12:56:59,153: +PARAM [/robot_description_kinematics/manipulator/kinematics_solver_search_resolution] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,153: +PARAM [/move_group/planner_configs/ESTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,154: +PARAM [/move_group/planner_configs/LBKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,154: +PARAM [/move_group/jiggle_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,154: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-04-16 12:56:59,154: +PARAM [/move_group/planning_scene_monitor/publish_state_updates] by /roslaunch
